Tahun,Bulan,ff4_hf,sp500_hf,BIRate,1ybond,LnIHSG,LnIPI,LnIHK
2005,8,-0.01,0.21427,8.75,13.532,695.6631154,456.452829,393.6688301
2005,9,0.0325,-0.15015,10,13.951,698.4049431,456.532339,394.3492602
2005,10,0,0,11,13.161,697.1874962,455.678281,402.6975907
2005,11,-0.0025,0.2192,12.25,13.149,700.0006239,439.541847,404.0034969
2005,12,-0.005,0.52662,12.75,12.809,705.8439959,444.575049,403.9595127
2006,1,0.02,-0.22803,12.75,12.884,711.6653851,442.995094,405.3034254
2006,2,0,0,12.75,12.166,711.530589,441.952275,405.8877821
2006,3,0.0275,-0.62108,12.75,11.836,718.7634488,443.267723,405.9201551
2006,4,0,0,12.75,11.845,728.920771,443.430944,405.9632855
2006,5,0.035,-0.19309,12.5,12.071,719.2934221,447.305262,406.3399326
2006,6,-0.03,0.54151,12.5,12.132,717.798087,451.060247,406.7900479
2006,7,0,0,12.25,11.553,720.9081347,453.473799,407.2381463
2006,8,-0.04,-0.2469,11.75,11.59,726.6310454,453.522956,407.5569916
2006,9,0,-0.26777,11.25,10.37,733.6038072,457.882271,407.938252
2006,10,-0.005,-0.07474,10.75,9.458,736.6843299,446.148065,408.8013396
2006,11,0,0,10.25,8.424,744.9474736,452.791315,409.1361283
2006,12,-0.01,0.26109,9.75,9.318,749.8603918,454.824951,410.3507785
2007,1,0,0.4816,9.5,8.006,747.1511057,451.219623,411.3773754
2007,2,0,0,9.25,8.383,746.2197708,445.457919,411.9984693
2007,3,-0.015,0.81634,9,7.741,751.2573852,452.162278,412.2316507
2007,4,0,0,9,8.188,760.0487373,452.270157,412.0694987
2007,5,0.01,-0.13457,8.75,7.763,764.2197942,453.686635,412.1708725
2007,6,0,-0.27362,8.5,7.671,766.8224603,455.99841,412.4036527
2007,7,0,0,8.25,7.778,776.1604489,458.101586,413.1188414
2007,8,-0.025,-1.25388,8.25,7.675,769.3636597,458.359449,413.8588535
2007,9,-0.1575,1.32029,8.25,7.579,776.6082096,460.276342,414.6626243
2007,10,0.0225,-0.41526,8.25,7.537,787.9855293,451.604431,415.4501781
2007,11,0,0,8.25,8.123,789.6675462,457.252992,415.6363192
2007,12,0.03,-1.76769,8,7.587,791.7838676,458.070285,416.7265664
2008,1,-0.2425,0.81482,8,7.853,787.3692951,456.897274,418.4827656
2008,2,0,0,8,8.513,790.910014,454.509149,419.1370088
2008,3,0.1575,0.47764,8,9.469,780.2740655,454.598322,420.0870249
2008,4,-0.065,0.16293,8,11.026,774.2627691,455.742389,420.6564597
2008,5,0,0,8.25,11.614,780.1534518,457.638895,422.0522337
2008,6,-0.04,0.03392,8.5,10.7,776.1791812,458.328229,423.0932487
2008,7,0,0,8.75,9.045,774.2623351,460.841272,424.4556639
2008,8,-0.03,0.13432,9,10.543,768.0609726,461.198429,424.9651573
2008,9,0.1125,-0.62947,9.25,12.01,751.3441891,459.453798,425.932284
2008,10,-0.09,-1.12724,9.5,14.804,713.6244517,457.505179,426.3816133
2008,11,-0.0025,1.64061,9.5,13.968,712.4107824,457.890112,426.5045949
2008,12,-0.18,1.59331,9.25,11.545,721.1859271,456.150112,426.4694747
2009,1,0,-0.1973,8.75,10.495,719.4939728,455.212267,426.3991974
2009,2,0,0,8.25,11.974,715.8887468,455.381247,426.6098955
2009,3,-0.0125,1.80819,7.75,10.091,726.8271834,455.982427,426.8289186
